S_sample,S,Phylum,sample,sample_1,sample_folder,MGX_cpn_RA,MTX_cpn_RA,MA_value,ratio,sum,MGX_humann_RA,MTX_humann_RA,humann_MTX_MGX_ratio,MGX_humann_RKPs,mtx_humann_RKPs,MGX_metaphlan_RA,"MGX_,metaphlan_RPKs",Reference_genome,num_uniref90s_ref,bPTR_coverage,bPTR_GC,overall_depth,iRep,raw_iRep,unfiltered_iRep,r2,status
s__Bacteroides_oleiciplenus-CSM5MCZF,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM5MCZF"",", CSM5MCZF,non-pilot,0.01356963,0.003606429,0.308172171,0.265772123,0.027139259,0.043266159,0.010918137,0.252348198,417162.99,13897.40474,1.721907452,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM67U9D,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM67U9D"",", CSM67U9D,non-pilot,0.007356028,0.016442861,-0.163748531,2.235290718,0.014712056,0.021344314,0.010257501,0.480573008,269899.9259,39696.30977,0.8121782,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM67UE7,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM67UE7"",", CSM67UE7,non-pilot,0.004555656,0.012597596,-0.188659549,2.765264785,0.009111312,0.019403587,0.010246588,0.528077022,207256.8512,17946.53125,0.6659057,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM67UGO,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM67UGO"",", CSM67UGO,non-pilot,0.020880428,0.039829408,-0.166917234,1.907499582,0.041760856,0.053236823,0.032220207,0.605224065,289341.6661,83208.33025,2.367274152,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM79HOL,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM79HOL"",", CSM79HOL,non-pilot,0.011247407,0.003312065,0.272430939,0.294473609,0.022494814,0.023799572,0.013331671,0.560164323,412777.456,29491.71827,0.8596757,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM7KON2,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM7KON2"",", CSM7KON2,non-pilot,0.007989789,0.006098271,0.055938299,0.763258051,0.015979579,0.02241078,0.009309717,0.415412424,179864.5996,60449.63451,0.8592878,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_oleiciplenus-CSM7KON8,s__Bacteroides_oleiciplenus,Bacteroidetes,"""CSM7KON8"",", CSM7KON8,non-pilot,0.006427314,0,Inf,0,0.012854629,0.015967744,0,0,160549.7233,0,0.4994434,NA,,NA,NA,NA,NA,,,,,bPTR
s__Bacteroides_ovatus-CSM67UEW,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UEW"",", CSM67UEW,non-pilot,0.007845528,0,Inf,0,0.015691056,0.006739213,0.023132474,3.432518685,96857.30159,1255.004613,0.034242729,NA,GCA_000178275,2309,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM67UEW_TR,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UEW_TR"",", CSM67UEW_TR,non-pilot,0.00591903,0.011847425,-0.13528156,2.001582172,0.01183806,0.006948933,0.006160706,0.886568539,93652.30936,311015.8572,0.01661455,NA,GCA_000178275,2284,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM67UF5,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UF5"",", CSM67UF5,non-pilot,0.002361951,0.023296821,-0.378427209,9.863379767,0.004723902,0.002124168,0.01082871,5.097859562,55625.28387,21906.92728,0.10695945,NA,GCA_000178275,1881,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM5FZ4G_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5FZ4G_P"",", CSM5FZ4G_P,pilot,0.126244249,0.182320311,-0.177598475,1.444187058,0.252488499,0.129341071,0.13735076,1.061926884,13104340.49,14921871.76,6.153185,NA,GCA_000273195,5545,NA,n/a,108.29,,,,,
s__Bacteroides_ovatus-CSM5FZ4K_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5FZ4K_P"",", CSM5FZ4K_P,pilot,0.085343104,0.111009894,-0.106839334,1.300748258,0.170686208,0.094014473,0.090258401,0.96004794,4821571.821,948781.2246,5.264435,NA,GCA_000273195,5509,NA,0.809498932,39.85,,,,,
s__Bacteroides_ovatus-CSM5FZ4M,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5FZ4M"",", CSM5FZ4M,non-pilot,0.159535269,0.215819634,-0.164630679,1.352802014,0.319070539,0.169334577,0.181113569,1.06956046,7607263.135,5886529.941,9.008784,NA,GCA_000273195,5532,NA,1.053540335,66.34,,,,,
s__Bacteroides_ovatus-CSM5MCTZ_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCTZ_P"",", CSM5MCTZ_P,pilot,0.013110137,0.017034984,-0.060420182,1.299375022,0.026220273,0.017854126,0.012393205,0.694136752,1237035.002,888204.553,1.110604,NA,GCA_000273195,5100,NA,n/a,17.46,,,,,
s__Bacteroides_ovatus-CSM5MCU8_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCU8_P"",", CSM5MCU8_P,pilot,0.013261667,0.055891013,-0.332770444,4.21447862,0.026523334,0.017299334,0.007752303,0.448127275,1277260.313,552805.8491,1.210717,NA,GCA_000273195,4817,NA,n/a,13.98,,,,,
s__Bacteroides_ovatus-CSM5MCUC_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCUC_P"",", CSM5MCUC_P,pilot,0.022919345,0.021417339,0.01795142,0.934465561,0.04583869,0.043135118,0.01740309,0.403455253,3866654.576,198245.2301,2.237516,NA,GCA_000273195,4908,NA,n/a,38.36,,,,,
s__Bacteroides_ovatus-CSM5MCUE_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCUE_P"",", CSM5MCUE_P,pilot,0.032624174,0.007666924,0.423097926,0.235007463,0.065248347,0.037859227,0.031684908,0.836913759,2547452.766,189345.584,2.226763,NA,GCA_000273195,4823,NA,n/a,24.7,,,,,
s__Bacteroides_ovatus-CSM5MCUG_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCUG_P"",", CSM5MCUG_P,pilot,0.019568904,0.010546127,0.157146005,0.538922731,0.039137808,0.020440439,0.015267529,0.746927651,1508444.156,888633.2951,1.200327,NA,GCA_000273195,5042,NA,n/a,19.31,,,,,
s__Bacteroides_ovatus-CSM5MCUK_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCUK_P"",", CSM5MCUK_P,pilot,0.012266736,0.013694452,-0.025017723,1.116389254,0.024533472,0.010576377,0.00636627,0.601932986,1244757.536,14087.18194,0.7745809,NA,GCA_000273195,5186,NA,n/a,17.64,,,,,
s__Bacteroides_ovatus-CSM5MCUO,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCUO"",", CSM5MCUO,non-pilot,0.015135258,0.007779529,0.158810379,0.514000442,0.030270515,0.015361995,0.032303002,2.102786831,1039784.759,933932.9945,1.392262,NA,GCA_000273195,4913,NA,n/a,12.91,,,,,
s__Bacteroides_ovatus-CSM5MCWM_P,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCWM_P"",", CSM5MCWM_P,pilot,0.119270404,0.057655801,0.341852579,0.483404088,0.238540809,0.102451057,0.034066418,0.332514067,6818411.293,455054.8252,2.994151,NA,GCA_000273195,5515,NA,0.966107356,68.24,,,,,
s__Bacteroides_ovatus-CSM5MCWQ,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCWQ"",", CSM5MCWQ,non-pilot,0.121003391,0.06896779,0.266191208,0.569965764,0.242006782,0.08260291,0.08929065,1.080962525,2875003.566,3889084.995,1.769172,NA,GCA_000273195,5501,NA,n/a,32.24,,,,,
s__Bacteroides_ovatus-CSM5MCXH,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXH"",", CSM5MCXH,non-pilot,0.050898902,0.055563783,-0.029446873,1.091649934,0.101797804,0.060929188,0.030569131,0.501715705,2377816.805,2980731.569,4.000102538,NA,GCA_000273195,4785,NA,n/a,26.12,,,,,
s__Bacteroides_ovatus-CSM5MCXJ,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXJ"",", CSM5MCXJ,non-pilot,0.03980025,0.039543658,0.00200624,0.99355299,0.079600501,0.056489402,0.037638344,0.666290371,2137479.09,3762350.322,3.762758,NA,GCA_000273195,4777,NA,n/a,23.77,,,,,
s__Bacteroides_ovatus-CSM5MCXL,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXL"",", CSM5MCXL,non-pilot,0.040041413,0.026385765,0.129617833,0.658961886,0.080082826,0.052304164,0.069592222,1.330529275,2627497.517,3142791.803,3.519795421,NA,GCA_000273195,4821,NA,n/a,30.16,,,,,
s__Bacteroides_ovatus-CSM5MCXN,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXN"",", CSM5MCXN,non-pilot,0.003368913,0.020771335,-0.319503078,6.1655898,0.006737826,0.013088684,0.030860789,2.357822129,537551.8123,1353124.596,0.4541862,NA,GCA_000273195,4972,NA,n/a,5.18,,,,,
s__Bacteroides_ovatus-CSM5MCXP,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXP"",", CSM5MCXP,non-pilot,0.040557261,0.036342011,0.03423995,0.896066703,0.081114522,0.05336111,0.065660152,1.230487008,2486883.578,4387983.704,3.92671,NA,GCA_000273195,4816,NA,n/a,27.75,,,,,
s__Bacteroides_ovatus-CSM5MCXR,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCXR"",", CSM5MCXR,non-pilot,0.044542264,0.028147415,0.147520483,0.631926016,0.089084528,0.050378045,0.077106392,1.530555469,1776277.524,2506203.714,3.738889537,NA,GCA_000273195,4588,NA,n/a,19.45,,,,,
s__Bacteroides_ovatus-CSM5MCZB,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCZB"",", CSM5MCZB,non-pilot,0.07007812,0.029463158,0.325967972,0.420433051,0.140156239,0.072429808,0.071795208,0.991238413,3322079.078,3516978.333,5.575345,NA,GCA_000273195,4840,NA,n/a,38.78,,,,,
s__Bacteroides_ovatus-CSM5MCZD,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCZD"",", CSM5MCZD,non-pilot,0.011092206,0.015538336,-0.074878733,1.400833702,0.022184411,0.018305804,0.061352221,3.351517457,903811.0435,907116.4458,1.083841961,NA,GCA_000273195,5339,NA,0.606305324,8.83,,,,,
s__Bacteroides_ovatus-CSM5MCZF,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCZF"",", CSM5MCZF,non-pilot,0.006648028,0.014061693,-0.149425302,2.115167564,0.013296056,0.019607095,0.026571733,1.35521011,613797.1746,278063.5257,0.841107416,NA,GCA_000273195,5175,NA,0.530315217,6.06,,,,,bPTR
s__Bacteroides_ovatus-CSM67U9D,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67U9D"",", CSM67U9D,non-pilot,0.009569657,0.022939219,-0.188044963,2.39707857,0.019139313,0.020306046,0.061581381,3.032662314,833681.451,1959282.099,1.373735,NA,GCA_000273195,5341,NA,0.787194691,8.38,,,,,bPTR
s__Bacteroides_ovatus-CSM67UBZ,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UBZ"",", CSM67UBZ,non-pilot,0.051563022,0.084041695,-0.16476102,1.629883058,0.103126043,0.075756992,0.091529232,1.208195174,3703192.001,3113535.098,6.33453,NA,GCA_000273195,5698,NA,0.964494985,42.88,,,,,
s__Bacteroides_ovatus-CSM67UC6,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UC6"",", CSM67UC6,non-pilot,0.028673773,0.047261103,-0.140691655,1.648234544,0.057347545,0.039169962,0.048950983,1.249707193,2523822.525,2487356.799,0.6503157,NA,GCA_000273195,5724,NA,0.454934185,35.34,,,,,
s__Bacteroides_ovatus-CSM67UCK,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UCK"",", CSM67UCK,non-pilot,0.010577015,0.013058908,-0.04633631,1.234649608,0.02115403,0.018355524,0.052435296,2.856649358,533164.4648,1008009.878,0.024218637,NA,GCA_000273195,4019,NA,n/a,8.54,,,,,
s__Bacteroides_ovatus-CSM67UDF,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDF"",", CSM67UDF,non-pilot,0.045449293,0.09690245,-0.244926831,2.132100271,0.090898586,0.053862264,0.095312558,1.769560938,1706407.093,2726561.809,3.3524,NA,GCA_000273195,4796,NA,n/a,20.06,,,,,
s__Bacteroides_ovatus-CSM67UDJ,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDJ"",", CSM67UDJ,non-pilot,0.040105997,0.043911368,-0.028184359,1.094882844,0.080211994,0.055867451,0.057560133,1.030298184,2321355.884,2427977.617,3.922414,NA,GCA_000273195,4779,NA,n/a,26.43,,,,,
s__Bacteroides_ovatus-CSM67UDN,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDN"",", CSM67UDN,non-pilot,0.035178082,0.04863949,-0.096797252,1.382664656,0.070356163,0.047609231,0.075247771,1.580529001,1768443.991,3266225.327,3.271051,NA,GCA_000273195,4798,NA,n/a,21.56,,,,,
s__Bacteroides_ovatus-CSM67UDR,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDR"",", CSM67UDR,non-pilot,0.010627863,0.033304424,-0.251351607,3.133689659,0.021255726,0.026785014,0.030137811,1.125174385,452910.3815,1685204.993,1.044327708,NA,GCA_000273195,4083,NA,n/a,5.72,,,,,
s__Bacteroides_ovatus-CSM67UDR_TR,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDR_TR"",", CSM67UDR_TR,non-pilot,0.012805528,0.03679791,-0.242219723,2.873595617,0.025611057,0.022138384,0.030213279,1.364746386,668819.9106,1890329.617,0.945487118,NA,GCA_000273195,4280,NA,n/a,8.59,,,,,
s__Bacteroides_ovatus-CSM67UDY,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UDY"",", CSM67UDY,non-pilot,0.025572017,0.011371231,0.221046193,0.444674793,0.051144034,0.039263532,0.064847639,1.651599747,945593.7034,2189954.966,1.671454168,NA,GCA_000273195,4575,NA,n/a,11.41,,,,,
s__Bacteroides_ovatus-CSM67UE7,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UE7"",", CSM67UE7,non-pilot,0.047542054,0.049115957,-0.010691993,1.033105498,0.095084108,0.048999501,0.139795684,2.853002181,1699310.526,2012954.625,4.572728,NA,GCA_000273195,5387,NA,0.978769066,19.41,,,,,
s__Bacteroides_ovatus-CSM67UFZ,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UFZ"",", CSM67UFZ,non-pilot,0.018308431,0.013102411,0.083633127,0.715649021,0.036616861,0.024655615,0.068851781,2.79253961,1002034.422,2122759.144,1.716454,NA,GCA_000273195,5103,NA,n/a,13.28,,,,,
s__Bacteroides_ovatus-CSM67UGO,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UGO"",", CSM67UGO,non-pilot,0.032988869,0.023696014,0.09698229,0.718303329,0.065977737,0.031982471,0.113683722,3.55456345,564371.4824,2413658.114,2.710868622,NA,GCA_000273195,5271,NA,1.024208389,6.07,,,,,
s__Bacteroides_ovatus-CSM79HLA,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HLA"",", CSM79HLA,non-pilot,0.027942633,0.064726069,-0.234797086,2.316391187,0.055885266,0.033415659,0.037451096,1.120764844,1779212.588,1164714.651,3.27969594,NA,GCA_000273195,4759,NA,1.184612042,19.57,,,,,
s__Bacteroides_ovatus-CSM79HLA_TR,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HLA_TR"",", CSM79HLA_TR,non-pilot,0.040744606,0.04636253,-0.040359591,1.137881409,0.081489212,0.037649454,0.034412548,0.914025158,1207380.417,1527674.234,2.836597431,NA,GCA_000273195,4703,NA,n/a,14.63,,,,,
s__Bacteroides_ovatus-CSM79HLC,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HLC"",", CSM79HLC,non-pilot,0.03723549,0.039662933,-0.019193089,1.065191635,0.074470981,0.046898387,0.061418082,1.309599027,2277360.686,3048656.61,3.004466,NA,GCA_000273195,4796,NA,n/a,28.74,,,,,
s__Bacteroides_ovatus-CSM79HLE,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HLE"",", CSM79HLE,non-pilot,0.034053672,0.079830024,-0.252073321,2.344241269,0.068107344,0.044066289,0.061609256,1.398104005,1271600.039,5731908.29,2.678478,NA,GCA_000273195,4606,NA,n/a,15.75,,,,,
s__Bacteroides_ovatus-CSM79HLG,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HLG"",", CSM79HLG,non-pilot,0.067671006,0.043602898,0.163207684,0.644336484,0.135342012,0.066768208,0.033924461,0.508093028,2721113.487,1146078.437,6.793263,NA,GCA_000273195,4761,NA,1.226267995,28.51,,,,,
s__Bacteroides_ovatus-CSM79HMT,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HMT"",", CSM79HMT,non-pilot,0.020572838,0,Inf,0,0.041145675,0.021218202,NA,NA,820510.3966,NA,0.696201888,NA,GCA_000273195,5022,NA,n/a,11.74,,,,,
s__Bacteroides_ovatus-CSM79HOL,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HOL"",", CSM79HOL,non-pilot,0.036540999,0.021634702,0.158381853,0.592066516,0.073081999,0.04358261,0.047420281,1.088055091,2454224.394,862419.5567,3.822552,NA,GCA_000273195,5396,NA,1.007988351,25.81,,,,,
s__Bacteroides_ovatus-CSM7KOLE,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KOLE"",", CSM7KOLE,non-pilot,0.007980159,0.012619261,-0.094863429,1.581329524,0.015960318,0.020554265,0.038955532,1.895253008,437871.4922,1724706.305,0.01114117,NA,GCA_000273195,3430,NA,n/a,7.82,,,,,
s__Bacteroides_ovatus-CSM7KOMP,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KOMP"",", CSM7KOMP,non-pilot,0.011694086,0.058944002,-0.363592694,5.040496833,0.023388172,0.01027774,0.072703036,7.073834638,726665.6438,4313.633046,0.5769597,NA,GCA_000273195,4332,NA,n/a,15.92,,,,,
s__Bacteroides_ovatus-CSM7KOMT,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KOMT"",", CSM7KOMT,non-pilot,0.015294791,0.060426775,-0.328669885,3.950807423,0.030589583,0.012332729,0.050534263,4.09757328,714348.8994,1335136.327,0.420299765,NA,GCA_000273195,4217,NA,n/a,15.73,,,,,
s__Bacteroides_ovatus-CSM7KON2,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KON2"",", CSM7KON2,non-pilot,0.014709212,0.01810324,-0.049206716,1.23074168,0.029418423,0.026480168,0.056951284,2.1507146,690023.1435,3040182.993,1.926618,NA,GCA_000273195,5293,NA,0.909434405,7.34,,,,,
s__Bacteroides_ovatus-CSM7KON8,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KON8"",", CSM7KON8,non-pilot,0.029246337,0,Inf,0,0.058492675,0.039065046,0.02578926,0.660162027,1275288.813,1584.804568,3.354683,NA,GCA_000273195,5373,NA,1.006315408,13.78,,,,,
s__Bacteroides_ovatus-CSM67UAK,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UAK"",", CSM67UAK,non-pilot,0.155271992,0.261834639,-0.280544005,1.686296638,0.310543985,0.143845022,0.1362788,0.947400182,3799304.059,2212543.852,12.7165,NA,GCA_000699725,5000,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM67UAM,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UAM"",", CSM67UAM,non-pilot,0.157693974,0.563654138,-0.689613579,3.574354319,0.315387948,0.167102655,0.303942364,1.81889608,7616841.311,7929010.533,14.44402415,NA,GCA_000699725,5048,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM67UAO,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67UAO"",", CSM67UAO,non-pilot,0.148571123,0.181440502,-0.104822412,1.221236659,0.297142246,0.146725799,0.187932105,1.280838857,3477193.117,9489432.857,14.51732,NA,GCA_000699725,4953,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM79HID,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HID"",", CSM79HID,non-pilot,0.273450968,0.317933437,-0.116239306,1.162670733,0.546901936,0.273612139,0.21294076,0.778257722,11414022.1,4774567.594,26.39601861,NA,GCA_000699725,4983,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM79HIF,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HIF"",", CSM79HIF,non-pilot,0.270485191,0.13800863,0.514632208,0.510226195,0.540970381,0.252397077,0.176174907,0.698006925,9356680.735,8823961.79,22.92215,NA,GCA_000699725,5048,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM79HPK,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HPK"",", CSM79HPK,non-pilot,0.000303261,0.010825653,-0.441318072,35.6975351,0.000606521,0.002544718,0.008491872,3.337058553,103863.8648,1395574.754,0.01942307,NA,GCA_000699725,504,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM67U9H,s__Bacteroides_ovatus,Bacteroidetes,"""CSM67U9H"",", CSM67U9H,non-pilot,0.015008186,0.037641753,-0.218976698,2.508081384,0.030016373,0.012137258,0.011185698,0.921600034,271058.8825,355388.7156,0.493076,NA,GCA_001578575,4319,NA,NA,NA,,,,,bPTR
s__Bacteroides_ovatus-CSM79HGF,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HGF"",", CSM79HGF,non-pilot,0.037183954,0.008558836,0.446223439,0.230175527,0.074367908,0.043507642,0.037143632,0.853726623,454181.685,514702.8201,1.913607559,NA,GCA_001578575,4623,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM79HPS,s__Bacteroides_ovatus,Bacteroidetes,"""CSM79HPS"",", CSM79HPS,non-pilot,0.014683706,0.00479473,0.265154347,0.326534077,0.029367412,0.015926227,0.055495387,3.484528314,540502.008,572214.609,0.3205523,NA,GCA_001578575,4578,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM7KONU,s__Bacteroides_ovatus,Bacteroidetes,"""CSM7KONU"",", CSM7KONU,non-pilot,0.030525126,0.001084548,0.956489108,0.035529687,0.061050253,0.027403853,0.024547074,0.895752666,51574.54717,51343.39353,0.47225229,NA,GCA_001578575,2164,NA,NA,NA,,,,,
s__Bacteroides_ovatus-CSM5MCX3,s__Bacteroides_ovatus,Bacteroidetes,"""CSM5MCX3"",", CSM5MCX3,non-pilot,0.013891802,0.015951878,-0.032334653,1.148294427,0.027783603,0.019143572,0.025152155,1.313869515,865616.4127,504426.0778,1.492126,NA,GCA_002160595,4705,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM5MCTZ_P,s__Bacteroides_plebeius,Bacteroidetes,"""CSM5MCTZ_P"",", CSM5MCTZ_P,pilot,0.185165655,0.078100041,0.511863627,0.421784705,0.370331309,0.112970559,0.096980287,0.858456297,2908301.106,2348683.094,9.372849,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM5MCUG_P,s__Bacteroides_plebeius,Bacteroidetes,"""CSM5MCUG_P"",", CSM5MCUG_P,pilot,0.012031827,0.0058098,0.164700497,0.482869367,0.024063653,0.021870432,0.013920672,0.63650649,599690.3927,273795.0739,0.6054575,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM5MCUK_P,s__Bacteroides_plebeius,Bacteroidetes,"""CSM5MCUK_P"",", CSM5MCUK_P,pilot,0.010009954,0,Inf,0,0.020019908,0.012344608,0.006975321,0.565050022,539828.5654,5215.727209,0.3639534,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM5MCUO,s__Bacteroides_plebeius,Bacteroidetes,"""CSM5MCUO"",", CSM5MCUO,non-pilot,0.046217283,0.053376813,-0.046845742,1.15491023,0.092434567,0.030470576,0.028564655,0.937450445,766314.7659,279070.1794,2.326892,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM5MCX3,s__Bacteroides_plebeius,Bacteroidetes,"""CSM5MCX3"",", CSM5MCX3,non-pilot,0.086020107,0.073490678,0.06417094,0.854343028,0.172040214,0.065693801,0.066356543,1.010088351,1103716.703,449694.6129,4.841402,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM67U9H,s__Bacteroides_plebeius,Bacteroidetes,"""CSM67U9H"",", CSM67U9H,non-pilot,0.003852586,0.00376868,0.00396112,0.978220759,0.007705172,0.005125454,0.003241723,0.632475296,42531.05103,34803.9139,0.177434,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM67UAO,s__Bacteroides_plebeius,Bacteroidetes,"""CSM67UAO"",", CSM67UAO,non-pilot,0.000196288,0.001472376,-0.23606665,7.501082367,0.000392577,0.047148449,0.017463496,0.370393859,415164.7254,297976.5386,0.02505047,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM67UFZ,s__Bacteroides_plebeius,Bacteroidetes,"""CSM67UFZ"",", CSM67UFZ,non-pilot,0.006931668,0,Inf,0,0.013863337,0.020481615,0.010970876,0.535645077,309287.0359,114297.9569,0.3465872,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM79HGF,s__Bacteroides_plebeius,Bacteroidetes,"""CSM79HGF"",", CSM79HGF,non-pilot,0.001450624,0.001427752,0.002431625,0.984233101,0.002901247,0.015918127,0.004287995,0.26937811,61742.85969,20078.81335,0.085903642,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM79HMT,s__Bacteroides_plebeius,Bacteroidetes,"""CSM79HMT"",", CSM79HMT,non-pilot,0.02420803,0,Inf,0,0.04841606,0.025505418,NA,NA,366470.2073,NA,1.079151589,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM79HPK,s__Bacteroides_plebeius,Bacteroidetes,"""CSM79HPK"",", CSM79HPK,non-pilot,0.009765434,0.034858822,-0.274893713,3.569613139,0.019530868,0.009513177,0.003536051,0.371700389,144271.7019,196372.1364,0.4797053,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM79HPS,s__Bacteroides_plebeius,Bacteroidetes,"""CSM79HPS"",", CSM79HPS,non-pilot,0.00558486,0.000466091,0.478716047,0.083456203,0.011169719,0.00711872,0.00468291,0.657830339,89767.07447,16316.59364,0.1586032,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_plebeius-CSM7KONU,s__Bacteroides_plebeius,Bacteroidetes,"""CSM7KONU"",", CSM7KONU,non-pilot,0.011446148,0.006486298,0.127057782,0.566679578,0.022892295,0.016998918,0.004621817,0.271888882,11887.09658,3266.6994,0.52563969,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_salyersiae-CSM5FZ4G_P,s__Bacteroides_salyersiae,Bacteroidetes,"""CSM5FZ4G_P"",", CSM5FZ4G_P,pilot,0.008570688,0.013969702,-0.10264783,1.629939382,0.017141376,0.020006089,0.005864895,0.293155476,612856.1594,170968.8718,0.8479717,NA,,NA,NA,NA,NA,,,,,
s__Bacteroides_salyersiae-CSM5FZ4K_P,s__Bacteroides_salyersiae,Bacteroidetes,"""CSM5FZ4K_P"",", CSM5FZ4K_P,pilot,0.007322353,0.006322821,0.029849827,0.863495723,0.014644706,0.021495107,0.014861978,0.691412132,333312.1689,41919.84298,1.022393,NA,,NA,NA,NA,NA,,,,,
