S_sample,S,Phylum,sample,sample_1,sample_folder,MGX_cpn_RA,MTX_cpn_RA,MA_value,ratio,sum,MGX_humann_RA,MTX_humann_RA,humann_MTX_MGX_ratio,MGX_humann_RKPs,mtx_humann_RKPs,MGX_metaphlan_RA,"MGX_,metaphlan_RPKs",Reference_genome,num_uniref90s_ref,bPTR_coverage,bPTR_GC,overall_depth,iRep,raw_iRep,unfiltered_iRep,r2,status
s__Alistipes_putredinis-CSM5MCY2,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCY2"",", CSM5MCY2,non-pilot,0.071962058,0.037821232,0.244438513,0.525571851,0.143924116,0.112550107,0.039225257,0.348513721,604310.1454,423973.5212,6.581777,NA,GCA_000154465,2396,NA,1.057976216,21.52,,,,,bPTR
s__Alistipes_putredinis-CSM5MCY4,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCY4"",", CSM5MCY4,non-pilot,0.033304323,0.017215247,0.193967842,0.516907261,0.066608647,0.04263867,0.006245019,0.146463726,324440.0619,18066.19989,2.220381,NA,GCA_000154465,2136,NA,1.04756082,13.56,,,,,bPTR
s__Alistipes_putredinis-CSM5MCY8,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCY8"",", CSM5MCY8,non-pilot,0.032498805,0.158674133,-0.462753614,4.882460568,0.064997609,0.046256973,0.044128365,0.953982989,575156.403,132145.5364,2.376554,NA,GCA_000154465,2149,NA,1.088446947,23.54,,,,,bPTR
s__Alistipes_putredinis-CSM5MCZB,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCZB"",", CSM5MCZB,non-pilot,0.001977594,0,Inf,0,0.003955188,0.004936258,0.000424505,0.085997324,41989.70382,4687.74442,0.0179683,NA,GCA_000154465,311,NA,n/a,4.36,,,,,bPTR
s__Alistipes_putredinis-CSM5MCZD,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCZD"",", CSM5MCZD,non-pilot,0.032114379,0.106998967,-0.350016667,3.331808666,0.064228758,0.06341368,0.047523282,0.749416871,580662.9767,158396.6844,3.539839817,NA,GCA_000154465,2345,NA,1.481937107,22.4,,,,,bPTR
s__Alistipes_putredinis-CSM5MCZF,s__Alistipes_putredinis,Bacteroidetes,"""CSM5MCZF"",", CSM5MCZF,non-pilot,0.046986272,0.093964386,-0.226645869,1.999826361,0.093972545,0.084163732,0.028496012,0.338578282,488639.9343,67222.57359,4.37842579,NA,GCA_000154465,2347,NA,1.35903646,18.59,,,,,bPTR
s__Alistipes_putredinis-CSM67U9D,s__Alistipes_putredinis,Bacteroidetes,"""CSM67U9D"",", CSM67U9D,non-pilot,0.026107295,0.057649537,-0.217297666,2.208177348,0.052214589,0.056318791,0.034754883,0.617109892,428825.3303,249270.1586,3.234775,NA,GCA_000154465,2340,NA,1.459563989,16.78,,,,,bPTR
s__Alistipes_putredinis-CSM67UAA,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UAA"",", CSM67UAA,non-pilot,0.004241248,0,Inf,0,0.008482496,0.010714834,NA,NA,56729.4259,NA,0.598442101,NA,GCA_000154465,1837,NA,1.236857208,2.3,,,,,bPTR
s__Alistipes_putredinis-CSM67UBZ,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UBZ"",", CSM67UBZ,non-pilot,0.061839532,0.094846643,-0.153677981,1.533754223,0.123679063,0.088452667,0.021434837,0.242331158,801893.6568,164369.4301,5.718448,NA,GCA_000154465,2300,NA,1.121129233,29.08,,,,,bPTR
s__Alistipes_putredinis-CSM67UC6,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UC6"",", CSM67UC6,non-pilot,0.05547064,0.058967777,-0.021140861,1.063044844,0.110941279,0.085855356,0.079551092,0.926571104,1025948.106,911233.5999,5.881614,NA,GCA_000154465,2313,NA,1.120948777,36.05,,,,,bPTR
s__Alistipes_putredinis-CSM67UCK,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UCK"",", CSM67UCK,non-pilot,0.050303352,0.038686341,0.087830406,0.769060899,0.100606704,0.072279333,0.014510543,0.200756459,389368.5654,62882.76708,4.154576248,NA,GCA_000154465,2383,NA,1.121439466,14.61,,,,,bPTR
s__Alistipes_putredinis-CSM67UE7,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UE7"",", CSM67UE7,non-pilot,0.023182284,0.036883135,-0.123358332,1.591005204,0.046364569,0.052149558,0.012495686,0.239612503,335416.2181,40560.86807,2.787012,NA,GCA_000154465,2335,NA,1.592735969,14.43,,,,,bPTR
s__Alistipes_putredinis-CSM67UEA,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UEA"",", CSM67UEA,non-pilot,0.075595504,0.065926727,0.052995307,0.87209852,0.151191007,0.112008668,0.053173454,0.474726243,768861.5096,308910.8605,6.477179,NA,GCA_000154465,2406,NA,1.000839253,27.79,,,,,bPTR
s__Alistipes_putredinis-CSM67UEI,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UEI"",", CSM67UEI,non-pilot,0.031544449,0.042739119,-0.087871987,1.354885587,0.063088898,0.050922438,0.014068725,0.276277518,389072.1911,177919.2096,2.673971676,NA,GCA_000154465,2138,NA,1.080314475,14.81,,,,,bPTR
s__Alistipes_putredinis-CSM67UFZ,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UFZ"",", CSM67UFZ,non-pilot,0.043673741,0.100219274,-0.265286269,2.294726117,0.087347482,0.084581015,0.020880513,0.246869976,637517.3846,145122.1216,4.512648,NA,GCA_000154465,2304,NA,1.057823065,23.05,,,,,bPTR
s__Alistipes_putredinis-CSM67UGO,s__Alistipes_putredinis,Bacteroidetes,"""CSM67UGO"",", CSM67UGO,non-pilot,0.040137523,0.077303603,-0.203837793,1.92596846,0.080275046,0.074658905,0.054684692,0.732460411,244335.7424,261727.9804,3.929298797,NA,GCA_000154465,2320,NA,1.535517709,9,,,,,bPTR
s__Alistipes_putredinis-CSM79HKB,s__Alistipes_putredinis,Bacteroidetes,"""CSM79HKB"",", CSM79HKB,non-pilot,0.05712542,0.05422379,0.018211126,0.949205975,0.11425084,0.082495702,0.06405522,0.776467358,480601.2124,296591.1824,4.605505,NA,GCA_000154465,2399,NA,1.148022895,18.41,,,,,bPTR
s__Alistipes_putredinis-CSM79HLC,s__Alistipes_putredinis,Bacteroidetes,"""CSM79HLC"",", CSM79HLC,non-pilot,0.004039197,0,Inf,0,0.008078393,0.00590647,0.000615526,0.104212124,53192.97015,6887.560213,0.03481152,NA,GCA_000154465,356,NA,n/a,4.98,,,,,bPTR
s__Alistipes_putredinis-CSM79HMT,s__Alistipes_putredinis,Bacteroidetes,"""CSM79HMT"",", CSM79HMT,non-pilot,0.029879908,0,Inf,0,0.059759816,0.060662834,NA,NA,435061.3929,NA,3.486402545,NA,GCA_000154465,2251,NA,0.968806936,16.43,,,,,bPTR
s__Alistipes_putredinis-CSM79HO1,s__Alistipes_putredinis,Bacteroidetes,"""CSM79HO1"",", CSM79HO1,non-pilot,0.024117882,0.078764994,-0.317739087,3.265833756,0.048235765,0.037991997,0.008826262,0.232318988,259970.1305,56760.92896,1.883987,NA,GCA_000154465,2124,NA,1.159766168,11.76,,,,,bPTR
s__Alistipes_putredinis-CSM79HOL,s__Alistipes_putredinis,Bacteroidetes,"""CSM79HOL"",", CSM79HOL,non-pilot,0.054896261,0.195951258,-0.438416534,3.569482793,0.109792522,0.097332936,0.079562405,0.817425309,1016513.6,326188.9838,5.522009,NA,GCA_000154465,2347,NA,1.37630359,38.37,,,,,bPTR
s__Alistipes_putredinis-CSM7KOL4,s__Alistipes_putredinis,Bacteroidetes,"""CSM7KOL4"",", CSM7KOL4,non-pilot,0.037235894,0.017948846,0.221775209,0.482030759,0.074471788,0.064301119,0.013379833,0.208080881,647978.3927,31576.19581,3.646568,NA,GCA_000154465,2409,NA,1.173480086,26.06,,,,,bPTR
s__Alistipes_putredinis-CSM7KOLA,s__Alistipes_putredinis,Bacteroidetes,"""CSM7KOLA"",", CSM7KOLA,non-pilot,0.021767319,0.009527719,0.215868761,0.437707522,0.043534637,0.051830458,0.005982749,0.115429205,395967.4146,55715.30722,2.412875331,NA,GCA_000154465,2374,NA,1.330857389,17.34,,,,,bPTR
s__Alistipes_putredinis-CSM7KOLE,s__Alistipes_putredinis,Bacteroidetes,"""CSM7KOLE"",", CSM7KOLE,non-pilot,0.074122511,0.153957244,-0.280916811,2.077064622,0.148245021,0.133943345,0.060591658,0.452367808,529198.0152,604735.9083,7.393087356,NA,GCA_000154465,2356,NA,1.081944761,18.95,,,,,bPTR
s__Alistipes_putredinis-CSM7KON2,s__Alistipes_putredinis,Bacteroidetes,"""CSM7KON2"",", CSM7KON2,non-pilot,0.047545618,0.108467851,-0.270763761,2.281342741,0.095091236,0.099765022,0.046257006,0.463659555,482140.445,556647.9789,5.071354,NA,GCA_000154465,2343,NA,1.502205531,17.41,,,,,bPTR
s__Alistipes_putredinis-CSM7KON8,s__Alistipes_putredinis,Bacteroidetes,"""CSM7KON8"",", CSM7KON8,non-pilot,0.032639366,0,Inf,0,0.065278733,0.066991729,0.001899646,0.028356424,405596.0729,26.31578947,3.531501,NA,GCA_000154465,2339,NA,1.566785554,15.55,,,,,bPTR
s__Alistipes_shahii-CSM5MCTZ_P,s__Alistipes_shahii,Bacteroidetes,"""CSM5MCTZ_P"",", CSM5MCTZ_P,pilot,0.003993291,0.002435239,0.089545231,0.609832583,0.007986581,0.008588998,0.001951569,0.227217321,87663.51307,23127.3441,0.01038979,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM5MCUE_P,s__Alistipes_shahii,Bacteroidetes,"""CSM5MCUE_P"",", CSM5MCUE_P,pilot,0.007655494,0.012977609,-0.108326347,1.695201976,0.015310988,0.006686974,0.007888172,1.179632492,66282.2181,7794.559592,0.01400638,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM5MCUK_P,s__Alistipes_shahii,Bacteroidetes,"""CSM5MCUK_P"",", CSM5MCUK_P,pilot,0.00816403,0,Inf,0,0.016328061,0.014879597,0.006977044,0.468900074,257971.6756,2552.836674,0.03302716,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM5MCY2,s__Alistipes_shahii,Bacteroidetes,"""CSM5MCY2"",", CSM5MCY2,non-pilot,0.01158154,0.01821936,-0.101623473,1.573137885,0.02316308,0.02408251,0.011524556,0.478544636,102706.1381,91369.81273,0.05223989,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM67UCK,s__Alistipes_shahii,Bacteroidetes,"""CSM67UCK"",", CSM67UCK,non-pilot,0.018250951,0.016835519,0.020163733,0.922446153,0.036501901,0.024105792,0.009869747,0.409434684,103145.1517,31373.25605,0.06067003,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM67UEA,s__Alistipes_shahii,Bacteroidetes,"""CSM67UEA"",", CSM67UEA,non-pilot,0.013254715,0.010404386,0.05600356,0.784957346,0.026509431,0.023552152,0.010426017,0.442677879,128412.6328,44428.56672,0.06180925,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM67UFZ,s__Alistipes_shahii,Bacteroidetes,"""CSM67UFZ"",", CSM67UFZ,non-pilot,0.002975914,0.03497297,-0.42357534,11.7520081,0.005951829,0.01194901,0.006392754,0.535002793,71537.16616,32590.12365,0.02320687,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM79HKB,s__Alistipes_shahii,Bacteroidetes,"""CSM79HKB"",", CSM79HKB,non-pilot,0.013032221,0.01675531,-0.057896605,1.285683387,0.026064442,0.020571049,0.020983357,1.020043129,95189.85074,71266.30895,0.09116094,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM7KOL4,s__Alistipes_shahii,Bacteroidetes,"""CSM7KOL4"",", CSM7KOL4,non-pilot,0.013249125,0.036317616,-0.233212878,2.741133107,0.026498251,0.018674649,0.015212287,0.814595605,149477.2508,26333.53635,0.06065745,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM7KOLA,s__Alistipes_shahii,Bacteroidetes,"""CSM7KOLA"",", CSM7KOLA,non-pilot,0.006269901,0.003073971,0.140534544,0.490274194,0.012539802,0.012959236,0.001165191,0.089911998,78638.36542,7959.328338,0.063201248,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM7KOLE,s__Alistipes_shahii,Bacteroidetes,"""CSM7KOLE"",", CSM7KOLE,non-pilot,0.004884765,0.005715209,-0.029504047,1.170007013,0.009769529,0.010275776,0.0039819,0.387503595,32247.22693,29150.69303,0.016883832,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM7KOMP,s__Alistipes_shahii,Bacteroidetes,"""CSM7KOMP"",", CSM7KOMP,non-pilot,0.028884237,0,Inf,0,0.057768474,0.039204515,0.002123516,0.054165098,408325.0998,20.83333333,0.3319436,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_shahii-CSM7KOMT,s__Alistipes_shahii,Bacteroidetes,"""CSM7KOMT"",", CSM7KOMT,non-pilot,0.017149778,0.052864844,-0.276885635,3.082538113,0.034299556,0.027149037,0.010021637,0.369134171,231653.3645,43781.52201,0.243781025,NA,not found in unistrains,NA,NA,NA,NA,,,,,
s__Alistipes_sp_CAG_268-CSM5MCUQ_P,s__Alistipes_sp_CAG_268,Bacteroidetes,"""CSM5MCUQ_P"",", CSM5MCUQ_P,pilot,0.165820723,0.111924653,0.218761578,0.674973859,0.331641446,0.280778984,0.161702122,0.575905361,3392995.693,512771.4224,15.4541,NA,GCA_000434235,2114,NA,0.94,117.88,,,,,bPTR
s__Alistipes_sp_CAG_268-CSM5MCUW_P,s__Alistipes_sp_CAG_268,Bacteroidetes,"""CSM5MCUW_P"",", CSM5MCUW_P,pilot,0.092407059,6.65E-05,3.038590067,0.000719784,0.184814119,0.181979669,0.002560681,0.01407125,1725282.536,8698.38916,9.479901,NA,GCA_000434235,2115,NA,0.93,63.41,,,,,bPTR
