# OTU,S13,S16,S11,S14,S17,S15,S18,S20,S12,S19,taxonomy
Taxa_5350,0,0,1,0,139,8,33,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_tuberculosis_10
Taxa_5612,0,0,0,0,33,40,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_sp_WSJ_1
Taxa_9031,0,1,114,0,0,1,1,0,1,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii
Taxa_8031,0,0,0,0,1,11,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_OV641
Taxa_8430,0,100,0,101,19,31,142,447,919,287,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium;sp.;CCBAU;51765
Taxa_5090,3947,0,2881,13,0,1,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum
Taxa_134,24,0,204,0,0,0,0,0,1,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Lawsonibacter;s__Lawsonibacter_asaccharolyticus
Taxa_8481,0,16,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__tarhaniae
Taxa_9034,0,0,2199,0,1,1,1,0,221,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii
Taxa_5195,0,0,0,0,165,282,128,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__C_sp_KPL1814_2
Taxa_140,0,0,93,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp_57_20
Taxa_5170,0,0,0,0,14,300,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa_3
Taxa_138,0,0,512,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__Firmicutes_unclassified;s__Firmicutes_bacterium_CAG_83
Taxa_7892,0,35,0,8,17,16,87,24,50,10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_icense_9
Taxa_5472,0,0,0,0,172,55,74,0,2,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__C_granulosum_2
Taxa_16,0,0,2,1,3,0,0,0,1970,0,k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__1
Taxa_5191,0,0,0,0,32,102,24,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__C;tuberculostearicum;strain;FDAARGOS_993
Taxa_5189,0,0,0,0,279,257,257,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__C;macginleyi;strain;FDAARGOS_1195
Taxa_108,0,0,2721,1,0,0,0,0,65,1,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_formicilis
Taxa_604,0,0,0,0,25,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_noxia_2
